,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
0,-2,-2,-1,2,2,1,-2,-2,-2,-1,1,2,-1,-2,-2,-2,-2,-1,1,0,-2
1,-1,-2,-3,-2,-2,2,2,1,-2,-2,-2,2,1,2,0,-2,-1,1,2,2,2
2,2,-1,-1,-1,2,2,2,2,0,-1,0,2,2,3,2,1,1,1,-1,3,2
3,-2,-1,2,3,3,-2,-2,-2,0,3,2,2,-2,-3,-2,0,2,3,1,-3,-2
4,-1,-1,-1,1,2,2,2,1,-2,-2,-2,2,1,1,-2,-2,-2,-1,0,2,2
5,-2,-2,-2,-1,1,1,-1,-2,-2,-1,0,2,2,1,-2,-1,0,2,2,2,2
6,-1,-2,-2,-1,2,2,1,-1,-1,-3,-2,0,2,2,2,1,-2,-2,1,1,2
7,0,3,2,1,-2,0,-2,2,2,2,1,-2,-2,1,2,2,1,-3,-3,-1,3
8,1,-1,-1,-2,-1,1,1,2,2,2,0,-2,-2,2,2,2,0,-1,-2,-1,1
9,0,-1,1,1,-2,-2,-2,-2,1,2,2,0,-1,-1,0,2,2,2,2,0,-2
10,2,-2,-3,-2,3,3,3,3,-2,-3,-3,-2,0,1,-2,-3,-3,1,-1,2,2
11,-1,-3,-1,0,3,3,2,2,2,-1,-2,-1,-2,-1,-3,-1,1,0,3,2,-1
12,-2,-2,3,3,3,3,-2,-3,-3,-3,2,2,-1,-2,-3,-2,-2,-1,0,1,0
13,-2,-1,2,2,2,2,-2,-2,-2,-2,1,2,2,0,-1,-2,-1,-1,2,1,2
14,0,1,2,1,-2,-2,-2,-2,1,2,0,-1,-2,0,2,2,1,-1,-2,-1,1
15,-3,-3,1,1,0,-3,-3,-2,0,2,2,0,-1,-2,2,2,2,2,-2,-2,-3
16,1,-2,-2,1,2,2,1,-2,-2,-2,1,0,2,1,1,-1,-2,-2,0,1,2
17,-2,0,0,-2,-3,-2,-2,-2,-2,2,2,2,2,2,1,0,-1,2,2,2,2
18,3,2,1,-1,-1,1,2,3,2,2,-1,-1,1,3,2,2,0,-3,-3,-2,0
19,2,2,-2,-2,-2,1,3,2,1,-3,-3,-3,1,2,2,1,-1,-2,-1,1,2
20,2,0,-3,-1,1,1,3,1,-2,-2,0,3,3,-2,-3,-3,-3,-3,2,2,2
21,2,2,1,-2,-2,1,2,2,1,-3,-3,-1,3,3,3,3,-1,-3,-3,0,2
22,-3,2,-1,-3,-3,-3,-1,2,2,1,-2,-3,-2,-2,-1,-1,-1,1,-3,-2,0
23,-1,-3,-3,-3,-3,-2,1,-1,-1,-2,-1,1,1,2,2,2,0,-2,-2,2,2
24,-1,-2,2,2,2,2,-2,-2,-2,2,2,2,2,-2,-3,-2,3,3,3,3,-2
25,2,-2,-2,-2,-2,2,1,1,-1,-2,-1,1,1,1,1,0,0,2,2,2,2
26,0,0,1,0,-1,-1,-1,2,3,3,0,-2,-2,-2,1,1,2,1,-3,-3,-3
27,-2,3,3,1,-2,0,-3,-1,2,3,3,3,-2,-2,-3,-3,1,-2,0,-3,1
28,-1,3,2,-1,-2,-2,-2,3,3,2,0,-3,-1,1,1,3,1,-2,-2,0,3
29,1,-2,2,1,2,-1,-2,-2,-1,2,2,1,-1,-1,-3,-2,0,2,2,2,1
30,2,-2,-2,-1,2,2,2,1,-2,-3,-2,-1,2,1,-1,-2,-3,-2,0,2,2
31,1,2,-1,-2,-2,-2,-2,-1,1,0,-2,-2,-2,-2,1,1,2,-1,-1,-1,1
32,2,1,1,0,-2,-1,0,2,2,2,2,1,-1,-1,0,2,1,-2,-2,-2,1
33,-1,-3,0,0,2,3,2,1,-2,-3,-2,0,1,-2,-2,-2,-2,-1,2,3,0
34,-1,2,2,2,1,1,1,0,-2,-2,-1,-1,-1,-1,2,2,1,-1,-2,-2,1
35,2,-1,-2,-2,-2,-2,0,0,-2,-2,-2,-1,2,2,2,2,1,-2,-1,1,2
36,-2,-2,0,0,3,1,-1,-1,-3,-2,2,2,2,0,-2,-2,1,0,3,2,-1
37,-3,-3,-2,0,2,2,-1,-3,-3,-3,-3,-2,1,-1,-1,-2,-1,1,1,2,2
38,-1,2,3,3,0,-2,-2,-2,1,1,2,1,-3,-3,-3,2,3,2,2,-2,-2
39,2,-1,-2,-2,2,2,2,1,0,-3,-2,2,2,2,2,-2,-2,-2,2,2,2
40,2,2,2,0,-2,-2,0,1,3,2,2,-2,-1,1,2,2,2,-2,-2,0,1
41,-3,-3,-3,1,2,0,-2,-3,1,2,3,3,3,0,-3,-3,-3,-1,2,2,2
42,1,2,2,0,-2,-2,-2,0,2,3,2,0,-2,-2,-2,-2,2,1,-2,0,-3
43,0,-2,-2,-2,0,1,2,2,0,-1,-1,0,2,2,2,2,-1,-1,0,0,3
44,0,-2,-2,-2,-1,2,2,2,2,1,-2,-1,1,2,2,-1,-1,-1,0,2,1
45,-2,1,3,2,1,-3,-3,-3,1,2,2,1,-1,-2,-1,1,2,2,-1,-1,-1
46,2,2,2,2,0,0,0,1,2,2,2,0,0,-2,-2,-2,-2,0,0,-2,-3
47,-3,-2,2,3,2,2,0,-3,-3,2,2,2,-1,-2,-3,0,-2,0,1,1,1
48,-3,-1,-2,0,1,-2,-2,-2,-2,2,3,2,2,0,-3,-2,2,2,2,0,-2
49,-1,1,1,-2,-2,-3,-3,3,3,3,3,1,-2,2,3,3,3,-3,-3,-3,-3
50,-2,-1,0,3,2,-2,-2,-2,-2,2,2,1,-2,-3,-2,-2,2,3,-1,-2,-2
51,-3,-3,-3,-3,-3,-3,-3,2,2,1,-1,-3,-3,-2,-2,-1,0,-1,-2,-3,-2
52,2,2,2,-2,-2,2,2,2,0,0,-3,-2,-2,0,1,1,0,-1,-2,-2,1
53,2,2,0,-2,-2,2,-1,3,-1,-2,-2,-2,0,3,1,2,-2,-2,-1,2,2
54,-2,-1,0,-2,0,-3,-1,-2,0,1,-2,-2,-2,-2,2,3,2,2,0,-3,-2
55,1,-2,-3,0,2,3,3,3,2,-3,-3,1,2,1,-1,-3,-3,-1,-2,1,2
56,-3,-3,1,-2,2,1,2,-1,-2,-2,-1,2,2,1,-1,-1,-3,-2,0,2,2
57,-3,0,-1,-3,-3,-3,-1,-2,0,2,2,2,2,0,-1,-1,0,0,0,-3,-2
58,0,-2,2,2,2,1,-2,-2,1,2,2,1,-3,-3,-1,3,3,3,3,-1,-3
59,2,2,2,-1,0,1,2,2,2,2,1,-1,-2,-1,2,1,1,-1,-2,-2,2
60,0,2,2,2,-3,-3,-3,-2,2,1,-1,-2,-2,-2,2,3,2,2,-2,-3,-2
61,3,3,0,-3,-3,-3,-1,2,2,2,2,2,2,3,3,0,-3,-3,-3,-1,0
62,3,-2,-3,-3,-3,-3,2,0,1,-3,-3,-3,0,0,-2,-1,-3,-3,-3,1,2
63,2,2,2,2,2,0,0,0,1,2,2,2,0,0,-2,-2,-2,-2,0,0,-2
64,0,-3,-3,-2,3,2,2,-2,-3,-2,0,2,2,2,1,-2,-2,-2,2,2,0
65,-2,-1,1,1,1,1,0,0,2,2,2,2,-1,-2,-2,-2,-1,2,3,3,-2
66,1,-2,-2,-2,2,2,0,1,-3,-2,0,2,3,2,2,-1,1,2,2,2,-1
67,2,0,-1,-1,-1,1,1,0,0,-3,-2,-2,1,2,2,2,-1,-1,2,2,2
68,-1,-3,-3,0,2,2,-2,-3,-3,1,-2,2,1,2,-1,-2,-2,-1,2,2,1
69,2,1,-2,-3,0,2,3,2,1,0,-2,-2,-2,2,2,2,0,-2,-3,1,2
70,1,-1,-1,-3,-3,-2,0,2,3,2,2,-1,-2,-1,0,1,2,-2,-2,-1,2
71,-2,-1,-3,-2,-2,0,0,2,1,0,-1,-2,-2,-1,-1,-1,-2,-3,-2,-2,-2
72,-1,0,2,2,1,-2,-1,0,2,2,2,2,-2,-2,1,2,3,-1,1,-1,-1
73,2,1,0,-2,1,3,3,3,2,-3,-3,-3,-2,-2,-1,0,-2,-1,-1,2,2
74,-3,-3,-3,2,3,-3,-2,2,3,3,-3,-3,-3,-3,-3,-3,-2,0,1,-3,-3
75,1,2,1,-1,-1,-1,2,2,2,0,-1,-2,0,2,3,-1,2,-1,-1,2,2
76,1,-1,-1,-1,1,2,3,3,-1,0,-1,-1,3,3,3,2,-2,-3,1,1,-1
77,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,2,2,-1,-2,-2,-2,-2
78,-2,-2,-2,-1,0,1,2,1,-1,-1,-1,2,2,2,0,-1,-2,0,2,3,-1
79,2,2,1,-2,-2,-1,0,2,3,1,1,-2,-3,-1,2,2,2,-2,-1,1,2
80,2,2,0,-1,-1,0,2,2,2,2,0,-2,-2,2,-1,3,-1,-2,-2,-2,0
81,2,3,3,-1,0,-1,-1,3,3,3,2,-2,-3,1,1,-1,-1,-3,-3,-2,0
82,1,-1,-2,-2,1,1,1,1,0,0,0,1,1,3,3,2,2,-3,-3,1,2
83,-3,-3,0,2,1,-2,-2,-3,-2,-1,1,1,2,-1,-1,-2,-1,0,2,1,-1
84,1,2,3,3,-2,-1,-2,2,3,2,2,-2,-3,-2,-2,2,3,2,-2,-3,-3
85,-2,-2,-1,2,2,3,2,2,-1,-2,0,1,1,-1,-2,-3,-2,0,1,2,1
86,-2,-2,1,2,2,0,-1,-1,0,2,2,2,2,0,-2,-2,2,-1,3,-1,-2
87,-1,-2,-2,-2,0,1,2,-1,-2,-2,0,2,2,2,-2,-2,-2,0,0,3,1
88,-2,-3,-3,2,2,3,3,-1,1,0,0,0,1,0,-1,-1,-1,2,3,3,0
89,1,-2,-3,-1,2,2,2,-2,-1,1,2,2,2,1,0,-3,-2,-1,2,2,0
90,3,3,3,-3,-3,-3,-3,3,1,-2,-3,-2,1,3,3,-2,-3,-3,-3,-3,2
91,-2,2,0,-1,-3,-2,-2,1,2,2,2,-1,-2,-2,-2,0,2,2,1,-2,-2
92,-1,-2,-3,-2,0,2,1,1,0,-2,0,1,2,2,1,-2,0,1,1,1,-2
93,-3,-2,0,2,3,2,2,-1,-2,-1,0,1,2,-2,-2,-1,2,2,2,1,-2
94,2,1,-3,-3,-2,-2,0,1,-1,-1,-2,2,2,2,1,-2,-2,-2,0,2,2
95,-2,-3,-2,-1,0,2,1,1,-1,-1,0,2,2,-1,-2,-2,-2,-1,2,2,2
96,1,1,-2,-2,1,2,2,-1,1,-3,-2,0,1,3,-1,-2,-2,-2,-2,-1,-2
97,2,1,1,-1,-2,-2,-1,1,2,-1,-2,-2,-2,0,2,2,-1,-2,-2,-2,1
98,2,2,2,1,0,0,0,1,2,2,-1,-3,-2,-2,2,2,2,0,0,-3,-1
99,1,2,3,3,-2,0,0,-1,3,2,2,0,-3,-1,-1,1,1,-2,-2,-3,-3
100,2,0,-2,-2,2,-1,3,-1,-2,-2,-2,0,3,1,2,-2,-2,-1,2,2,2
101,1,1,0,0,2,2,2,2,3,-1,2,-1,-1,-1,-1,-1,3,3,3,3,-3
102,-3,-3,2,3,3,-2,-3,-2,1,2,3,3,2,-2,-1,-1,3,3,3,2,-2
103,2,2,2,2,-2,-2,0,0,3,1,1,-2,-2,-2,2,1,2,0,-2,-2,1
104,-1,-3,-3,-2,-2,-1,0,-1,-2,-3,-2,-2,2,0,-1,-3,-2,-2,1,2,2
105,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,3,3,2,2,-3,-3,-3,-3,-2,0
106,-3,-3,-3,-1,2,2,1,-2,-3,-2,-2,-1,-1,-1,1,-3,-2,0,1,2,1
107,-3,0,2,2,-2,-3,-3,1,-2,2,1,2,-1,-2,-2,-1,2,2,1,-1,-1
108,-2,-1,0,2,1,1,-1,-1,0,2,2,-1,-2,-2,-2,-1,2,2,2,0,-1
109,0,0,0,1,0,1,1,0,2,3,3,3,3,3,-1,-3,-2,-2,-2,-2,-3
110,2,-2,-3,-3,-2,2,3,3,3,-3,-3,-3,0,2,1,-2,-2,-3,-2,-1,1
111,-1,-2,1,-1,3,2,2,-2,-2,-2,-1,1,2,-1,-2,-1,-1,3,2,2,-2
112,-2,0,2,3,2,2,-2,-3,-2,-1,2,2,0,-2,-2,-1,2,2,1,-1,-2
113,2,3,2,2,-2,-2,-1,2,3,3,-2,-2,-3,-2,-2,3,3,1,-2,0,-3
114,2,1,-1,-1,1,-1,3,2,1,0,-1,-1,2,2,2,1,-2,-2,1,2,2
115,-1,-1,0,2,1,2,0,1,1,1,1,1,-2,2,-3,-1,-2,1,1,2,-1
116,1,1,1,0,0,2,2,2,2,-1,-2,-2,-2,-1,2,3,3,-2,-2,-2,0
117,-1,1,1,0,0,0,0,-1,-1,2,2,2,1,-1,2,2,2,-2,-2,-2,-1
118,3,1,-3,-2,-2,2,2,2,0,-2,-2,-2,-1,2,1,-2,-2,-3,-2,-1,2
119,2,0,-1,-3,-2,0,2,2,-1,-2,-2,-1,2,1,0,-1,-2,-2,-1,2,2
120,1,-2,-2,-2,0,2,2,2,-1,-2,-2,-2,1,2,1,-1,-2,-2,0,2,2
121,1,-1,-3,-2,-1,0,2,2,0,-2,-2,0,2,2,1,0,-2,-1,1,2,2
122,3,-1,-2,-2,-2,0,3,1,2,-2,-2,-1,2,2,2,0,-2,-2,-2,-1,0
123,2,2,2,2,3,3,0,-3,-3,-3,-1,0,1,2,2,0,-2,-2,1,2,2
124,-1,2,2,2,0,-2,-2,-2,-1,0,-2,0,-3,-1,-2,0,1,-2,-2,-2,-2
125,3,3,3,-3,-3,-3,2,3,-3,-2,2,3,3,-3,-3,-3,-3,-3,-3,-2,0
126,2,2,2,-2,-2,2,2,2,1,-2,-3,-2,3,3,3,3,2,-3,-3,2,2
127,3,3,-2,-2,-2,-2,-1,-2,-2,-3,-3,-2,-2,2,3,3,-1,0,0,0,1
128,-2,-2,2,2,-1,-2,-2,-2,-2,0,0,-2,-2,-2,-1,2,2,2,2,1,-2
129,-1,-2,-3,-2,-2,2,0,0,-1,-1,-1,0,0,0,-1,-1,-1,2,2,2,2
130,-1,-2,-2,-3,-2,-2,2,-1,3,2,2,2,0,3,2,2,-2,-2,-2,0,2
131,3,3,-3,-3,-3,-3,-3,1,2,0,-2,-3,1,2,3,3,3,0,-3,-3,-3
132,-2,-2,-2,0,2,2,1,0,-3,1,2,3,2,2,-2,-2,-1,2,3,3,-2
133,-1,1,1,0,1,1,1,0,0,2,2,2,2,3,-1,2,-1,-1,-1,-1,-1
134,2,-2,-1,1,2,2,2,1,0,-3,-2,-1,2,2,0,-1,-3,-2,2,2,3
135,-3,-2,-1,1,2,2,0,-1,-1,2,2,2,-1,-2,-3,1,-1,2,2,2,-2
136,-2,-1,1,2,2,-2,0,-3,0,-1,1,1,-2,-2,-2,-2,1,2,2,0,-1
137,-2,1,2,3,2,2,-3,-3,-2,-1,1,2,1,0,-2,1,3,3,3,2,-3
138,1,0,-2,-1,0,2,2,2,2,1,-1,-1,0,2,1,-2,-2,-2,1,1,1
139,-1,-1,-1,-2,-2,-2,-1,0,1,2,1,-1,-1,-1,2,2,2,0,-1,-2,0
140,2,-1,3,3,3,3,3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-1,2,1,-2
141,-3,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-1,-3,-3
142,2,2,-1,-2,-3,-2,0,2,1,-2,0,-3,-1,0,3,2,1,-2,-3,-2,0
143,-2,2,3,2,2,-2,-3,-2,-2,2,3,2,-2,-3,-3,1,2,2,1,-2,-3
144,3,2,2,-2,-3,1,2,2,2,0,-2,-2,-2,2,2,2,1,-2,-3,-2,1
145,1,-2,1,-3,-2,0,1,0,-1,-2,-2,-2,-1,2,1,0,-1,-2,-1,1,2
146,3,2,2,-2,-2,-1,2,3,3,-2,-2,-3,-2,-2,3,3,1,-2,0,-3,-1
147,0,0,0,-1,-1,2,2,2,1,-1,2,2,2,-2,-2,-2,-1,-2,-2,-1,1
148,2,1,1,-2,-2,1,2,2,1,-2,-2,-2,1,0,2,1,1,-1,-2,-2,0
149,-2,-1,1,1,0,1,1,1,0,0,2,2,2,2,3,-1,2,-1,-1,-1,-1
150,2,1,-2,-2,-1,2,2,1,-2,-2,-2,-1,1,2,-1,-2,-2,-2,-2,-1,1
151,1,-1,-2,-2,-2,0,1,2,-1,-2,-2,0,2,2,2,-2,-2,-2,0,0,3
152,1,2,2,2,2,1,-1,-2,-1,2,1,1,-1,-2,-2,2,2,2,2,-2,-2
153,2,2,0,0,-2,-2,-2,-2,0,0,-2,-3,-2,-2,-2,-2,2,2,2,2,2
154,2,0,-2,0,-3,-1,0,1,2,2,1,1,-2,-1,2,2,1,-2,-1,-2,2
155,2,1,-2,-2,-2,1,2,2,1,-2,-2,-1,1,1,1,0,-2,-2,-1,1,2
156,3,3,3,3,3,-1,-3,-2,-2,-2,-2,-3,-3,-3,-3,1,2,-2,-2,-2,0
157,2,-3,-3,-3,-3,-2,0,1,-3,-3,-3,-1,1,0,-2,-2,-2,-2,1,0,3
158,-3,-3,-1,-2,0,2,2,2,2,0,-1,-1,0,0,0,-3,-2,-1,1,3,2
159,2,-2,-2,-2,-2,2,2,1,-2,-3,-2,-2,2,3,-1,-2,-2,-1,2,2,2
160,-1,-1,2,2,2,2,-1,-2,-2,-2,2,3,1,-3,-3,0,3,3,3,3,-3
161,0,-2,-2,-2,-2,1,2,2,0,-1,-2,0,0,3,2,1,-2,-1,0,0,3
162,2,2,0,-2,-2,1,2,2,2,0,-1,-3,-2,0,2,2,-1,-2,-2,-1,2
163,3,3,-1,-3,-2,-2,-2,-2,-3,-3,-3,-3,1,2,-2,-2,-2,0,2,3,2
164,-1,-2,2,2,2,2,-2,-2,-2,-2,2,1,1,-1,-2,-1,1,1,1,1,0
165,1,-2,0,-3,-1,2,3,3,3,-2,-2,-3,-3,1,-2,0,-3,1,-1,1,2
166,-1,0,2,1,1,-1,-1,0,2,2,-1,-2,-2,-2,-1,2,2,2,0,-1,-2
167,0,3,-2,-3,0,-1,2,1,1,-2,-2,1,2,2,-1,1,-3,-2,0,1,3
168,-2,2,1,2,-1,-2,-2,-1,2,2,1,-1,-1,-3,-2,0,2,2,2,1,-2
169,0,1,1,1,0,-1,-2,-2,2,2,2,1,-3,-3,-2,-2,0,1,-1,-1,-2
170,2,-1,-2,-2,-2,-1,2,2,2,0,-1,-2,2,2,2,2,-2,-2,-2,-2,2
171,-2,-1,-1,-1,-2,-3,-2,-2,-2,2,2,-1,-2,-2,-2,1,3,2,0,-2,-3
172,-2,2,2,2,0,-1,-2,-1,1,2,1,-2,-3,-2,-2,1,3,2,-2,-2,-2
173,0,2,2,-1,-2,-2,-2,1,1,1,-1,-1,-2,-1,1,2,1,1,0,-2,-1
174,-2,-2,-2,2,2,-2,-2,-2,2,2,2,2,1,-2,-2,2,3,3,3,3,2
175,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-2,2,2,-1,-2,-2,-2,0,0,3,2
176,1,-2,-2,1,1,-2,-2,-3,-3,-2,3,2,2,-2,-2,-2,2,3,2,-1,-2
177,-3,2,1,1,-1,-2,-2,-2,-2,1,2,0,-1,-2,-2,-1,1,1,2,0,0
178,-1,1,1,1,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-1,0,1,2,1,-1,-1
179,-1,3,2,2,0,-3,-1,-1,1,1,-2,-2,-3,-3,3,3,3,3,1,-2,2
180,-2,-2,-2,-2,-3,-3,-3,-3,1,2,-2,-2,-2,0,2,3,2,2,-2,-3,-2
181,-3,1,2,0,0,1,2,0,-3,-3,-3,-3,-2,0,2,2,-1,-3,-3,-3,-3
182,-3,-2,-2,3,3,2,-1,-2,-3,-2,-1,2,2,1,-2,-1,-1,2,3,3,1
183,1,-1,-3,-2,-2,-1,0,1,-1,-2,-2,-2,1,2,2,1,-1,-1,1,1,3
184,1,-2,-2,0,2,2,2,-1,-2,-2,-2,0,3,2,0,-2,-3,-2,-1,1,2
185,2,0,-2,-2,1,0,3,2,-1,-1,-1,2,2,2,-1,-2,-2,-2,-1,1,1
186,2,2,0,-3,-1,-1,1,1,-2,-2,-3,-3,3,3,3,3,1,-2,2,3,3
187,1,2,-1,-2,-2,-2,0,2,2,-1,-2,-2,-2,1,1,1,-1,-1,-2,-1,1
188,-3,-2,2,2,-1,-2,-2,-2,0,0,3,2,-2,-2,-1,0,1,1,1,0,-1
189,2,1,-2,-2,-1,1,2,0,-1,-3,-1,-1,1,1,1,-2,-2,0,2,2,2
190,2,-2,-3,1,2,2,2,0,-2,-2,-2,2,2,2,1,-2,-3,-2,1,2,3
191,-2,-2,2,2,2,2,1,-2,-2,2,3,3,3,3,2,-3,-3,0,-1,-3,-3
192,-2,-2,-1,0,1,-1,-2,-2,-2,-2,0,1,0,-2,-2,-1,2,1,2,-2,-2
193,2,2,3,2,1,-2,1,2,3,3,-2,-2,-3,-2,0,1,-1,-2,-3,-2,-2
194,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,2,2,-1
195,-2,-2,-1,0,-2,-1,-1,2,2,2,3,2,2,2,1,1,1,-2,-2,-2,-1
196,1,-2,-2,-2,-2,-1,2,2,2,2,-2,-2,-1,1,2,-2,0,-3,1,-1,2
197,0,-3,0,-1,1,1,-2,-2,-2,-2,1,2,2,0,-1,-1,0,2,2,2,2
198,2,2,2,-2,-2,-1,1,2,2,-2,0,-3,0,-1,1,1,-2,-2,-2,-2,1
199,2,2,0,0,-3,-2,-2,0,1,1,0,-1,-2,-2,1,2,3,2,3,-1,-2
200,2,1,-1,2,2,2,-2,-2,-2,-1,-2,-2,-1,1,1,0,1,1,1,0,0
201,-2,-2,-2,-2,-1,1,-1,-1,-2,-1,1,1,2,-1,-1,-1,1,2,2,2,1
202,-1,2,2,0,-2,-3,-2,-1,3,3,3,2,-3,-3,-3,-1,-1,1,2,2,2
203,-2,0,2,3,2,2,-1,-2,-1,0,1,2,-2,-2,-1,2,2,2,1,-2,-3
204,2,2,2,-2,-2,-3,-2,2,2,2,1,-2,-2,-1,2,2,1,-2,-2,-2,-1
205,0,2,2,2,2,-2,-2,2,2,2,1,-2,-3,-2,3,3,3,3,2,-3,-3
206,-3,-3,-1,-3,-1,0,3,3,2,2,2,-1,-2,-1,-2,-1,-3,-1,1,0,3
207,0,-2,-2,-2,-2,1,0,3,1,0,-1,0,2,2,-2,-2,-3,-2,-2,-1,3
208,1,2,1,-2,-3,-2,-2,1,3,2,-2,-2,-2,0,2,2,0,-2,-2,-1,1
209,-3,-3,-3,-2,0,1,-3,-3,-3,-1,0,1,-2,-2,-3,-2,-1,1,1,2,2
210,1,-2,-2,-1,2,3,2,1,-1,-3,-2,-2,3,3,2,-1,-2,-3,-2,-1,2
211,1,0,-1,1,2,3,-1,-1,-1,-2,0,2,1,1,-2,-2,-3,-2,0,1,1
212,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2
213,-3,2,2,3,3,-1,1,0,0,0,1,0,-1,-1,-1,2,3,3,0,-2,-2
214,1,2,2,-2,-2,-2,3,3,3,3,2,-3,-3,-3,-1,-2,-3,0,-3,-2,-2
215,-2,-2,-3,-2,-1,1,1,0,-1,-2,-2,-2,1,2,0,0,-2,-2,-2,1,2
216,-1,1,2,2,0,-2,-2,-2,-2,1,2,2,0,-2,-2,-2,0,2,3,2,0
217,-2,-1,1,1,2,2,1,1,0,1,2,1,0,-1,-1,1,2,3,-1,-2,-2
218,-2,-2,-2,-2,-1,-2,-2,-3,-3,-2,-2,2,3,3,-1,0,0,0,1,1,1
219,1,0,-2,-2,-2,-1,2,2,3,2,2,-1,-2,0,1,1,-1,-2,-3,-2,0
220,2,2,3,2,2,2,1,1,1,-2,-2,-2,-1,3,3,2,0,-2,-1,0,2
221,2,-2,-2,-1,2,3,3,-2,-2,-3,-2,-2,3,3,1,-2,0,-3,-1,2,3
222,0,1,1,1,0,0,2,2,2,2,3,-1,2,-1,-1,-1,-1,-1,3,3,3
223,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-1,0
224,-2,-2,-3,1,2,3,2,2,-2,-3,1,2,2,2,0,-2,-2,-2,2,2,2
225,0,1,1,1,1,1,-2,2,-3,-1,-2,1,1,2,-1,-2,-2,-2,1,1,2
226,-1,-2,-2,-2,3,3,2,0,-3,-1,1,1,3,1,-2,-2,0,3,3,-2,-3
227,2,0,-2,-2,1,2,3,2,2,-3,-3,-2,-1,1,2,1,0,-2,1,3,3
228,-3,-2,-2,2,0,0,-1,-1,-1,0,0,0,-1,-1,-1,2,2,2,2,-1,-2
229,-3,-2,-2,2,2,0,-3,-3,0,2,3,3,3,-3,-3,-3,1,2,2,-2,-2
230,-2,-1,2,2,2,2,-2,-2,-1,1,2,-2,0,-3,1,-1,2,2,1,-2,-2
231,1,2,2,0,-1,-1,0,2,2,2,2,-1,-1,0,0,3,2,2,-1,0,1
232,2,-1,-2,-1,-1,2,2,0,-1,0,1,2,2,0,-2,0,-3,-1,0,1,2
233,3,2,2,-2,-2,-2,2,3,2,-1,-2,-3,-2,-2,2,2,1,-2,-2,-2,2
234,-2,-1,0,0,3,2,1,-2,0,-2,2,2,2,1,-2,-2,1,2,2,1,-3
235,2,0,-1,0,2,2,3,2,1,1,1,-1,3,2,-2,-2,-3,-3,2,2,1
236,-2,-2,-1,0,1,0,-2,-1,-1,1,2,1,1,-2,-2,-1,1,1,2,0,-1
237,2,1,2,0,-2,-1,1,2,2,2,-1,-1,-3,-2,-2,1,0,-2,-2,-2,0
238,-3,-3,2,2,-1,-2,-3,-2,-2,-1,0,1,0,-2,-1,-1,1,2,1,1,-2
239,-3,-2,0,1,0,-1,-2,-2,-2,-1,2,1,0,-1,-2,-1,1,2,2,1,-1
240,2,-1,-2,-3,-2,-2,2,2,1,-2,-2,-2,2,1,2,0,-2,-1,1,2,2
241,-1,-1,-1,2,2,2,-1,-2,-2,-2,-1,1,1,2,-1,-2,1,-1,3,2,2
242,2,2,1,-2,-3,-2,3,3,3,3,2,-3,-3,2,2,0,-2,-3,-3,-3,2
243,3,2,2,1,-3,-2,-1,0,3,2,-2,-2,-2,-2,2,2,1,-2,-3,-2,-2
244,-2,2,2,2,1,-2,-2,-1,2,2,1,-2,-2,-2,-1,1,2,-1,-2,-2,-2
245,-3,-3,-3,2,-3,-3,-3,-3,-3,-2,2,2,-1,-2,-2,-2,0,0,3,2,-2
246,2,-2,-2,-2,-1,-1,3,2,-1,-2,-2,-2,3,3,2,0,-3,-1,1,1,3
247,-1,1,0,-2,-2,-2,-2,1,1,2,-1,-1,-1,1,2,2,2,0,-2,-2,0
248,2,2,1,0,-3,-2,-2,0,1,0,-2,-2,-2,-2,1,2,2,0,-1,-2,0
249,-2,2,2,2,2,2,1,0,-1,2,2,2,2,0,-1,2,3,3,3,-3,-3
250,-2,-1,2,2,2,1,-2,-3,-2,-2,1,2,-1,-2,-2,0,2,2,1,-1,-1
251,-1,1,2,2,1,-2,-2,-2,-2,0,2,2,0,-2,-2,0,1,2,2,-1,-2
252,2,0,-3,-3,-2,0,2,-2,-3,-3,-2,2,3,3,3,-3,-3,-3,0,2,1
253,2,-1,-2,-3,-2,0,2,1,-2,0,-3,-1,0,3,2,1,-2,-3,-2,0,1
254,-2,-1,0,1,2,1,-1,-1,-1,2,2,2,0,-1,-2,0,2,3,-1,2,-1
255,-2,2,3,3,-1,0,0,0,1,1,1,0,0,0,3,3,3,1,-1,-3,-3
256,0,1,1,0,-1,-2,-2,1,2,3,2,3,-1,-2,-1,2,2,2,-2,-2,-2
