,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
107,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1
108,-2,-2,0,2,2,-2,-2,-1,-1,0,-3
109,0,3,0,0,3,1,0,-2,-2,-1,0
110,-1,1,-2,1,-1,-2,-2,-2,-2,2,2
111,-1,0,-3,1,-2,-2,0,-3,0,-2,0
112,2,0,-1,1,-2,1,-1,-2,-2,-2,-2
113,2,2,2,2,-1,-1,-2,1,-3,1,0
114,1,-2,-1,2,3,2,1,-2,1,0,3
115,-2,1,0,3,-1,-2,0,-3,-2,-2,-1
116,-2,-2,-2,2,2,2,2,2,-1,-1,0
117,-1,-2,-1,1,-1,-2,-2,2,1,2,2
118,2,2,0,2,-2,-2,-3,-2,-2,0,1
119,-3,1,-2,-2,0,-3,0,-2,0,2,2
120,0,3,0,2,0,-2,0,2,2,2,2
121,-3,1,0,-1,-2,-2,-2,0,-3,-1,-2
122,1,2,2,2,2,0,-2,-2,2,2,2
123,2,-2,-2,-1,1,1,1,-1,-2,-2,-2
124,2,3,2,2,2,3,2,2,2,0,2
125,2,1,3,2,2,2,1,-2,1,2,2
126,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2
127,0,-1,-2,-2,2,2,0,-2,-2,-2,-2
128,3,2,2,2,0,2,-2,-2,-3,-2,-2
129,2,1,2,0,-2,-3,-2,-2,-2,-2,-3
130,0,3,1,0,-2,-2,-1,0,-2,-2,-2
131,3,2,2,2,0,-1,0,2,2,2,2
132,-2,-2,3,2,2,-2,0,-3,-2,0,2
133,0,2,2,1,1,1,-2,0,0,1,2
134,0,-1,1,-2,1,-1,-2,-2,-2,-2,2
135,2,0,-2,-2,-2,-2,-2,2,2,2,0
136,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0
137,-1,-1,1,1,2,3,2,2,-1,-2,-2
138,2,0,3,0,0,1,2,2,2,1,1
139,0,0,1,2,-2,-2,-2,-2,-2,3,2
140,-2,1,1,-1,-2,-1,-1,1,-1,-2,1
141,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2
142,1,2,3,2,2,2,0,-1,0,2,2
143,3,2,1,-2,1,0,3,-1,-2,0,-3
144,-2,2,2,2,0,3,0,0,3,1,0
145,3,2,-2,-2,-2,2,2,2,3,2,2
146,1,-1,-2,-2,-2,-2,2,2,2,2,2
147,-2,-2,-2,-2,-2,-1,-1,-1,1,1,2
148,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2
149,2,-2,-2,-2,-2,-2,3,2,2,2,2
150,2,2,2,-2,1,-1,2,2,2,2,3
151,2,2,-2,1,-1,2,2,2,2,3,2
152,1,1,-1,-2,-1,-1,1,-1,-2,1,2
153,-2,-2,-2,2,1,-1,-2,-2,0,-1,-2
154,-1,0,-2,-2,-2,-2,-2,-1,-1,-1,1
155,-1,3,0,2,2,1,1,1,-2,0,0
156,2,2,2,2,0,-1,-2,-2,2,2,0
157,0,-2,-2,-2,-2,-2,-1,-1,-1,1,1
158,3,-2,2,2,2,0,-2,-2,0,2,2
159,0,-3,-2,-2,-1,0,-2,-2,-2,-2,-2
160,2,0,3,1,-1,-3,-2,-2,-2,1,1
161,-2,-2,2,2,2,2,1,-2,-2,-2,-2
162,2,3,2,2,2,0,-1,0,2,2,2
163,-2,-1,0,-2,-2,-2,-2,-2,-1,-1,-1
164,0,1,-1,2,0,3,1,-1,-3,-2,-2
165,0,1,3,2,-2,-2,-2,2,2,2,3
166,0,3,-1,2,-1,-2,2,0,3,0,2
167,3,0,2,0,-2,0,2,2,2,2,0
168,-2,3,2,2,2,2,-1,-1,-2,1,-3
169,2,2,2,2,2,-2,-2,-3,2,-2,-2
170,-2,1,2,3,2,2,2,0,-1,0,2
171,-1,-2,-2,-2,1,-1,0,-3,-2,0,2
172,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1
173,-2,-2,-2,-2,-1,-1,-1,1,1,2,3
174,0,2,1,2,0,-2,-3,-2,-2,-2,-2
175,2,2,2,3,2,2,2,1,0,1,-1
176,-3,2,-2,-2,1,2,3,2,2,2,0
177,1,0,1,-1,-2,-1,1,2,2,3,1
178,-2,-2,0,1,-1,-2,-2,-2,-2,1,1
179,-1,-2,-1,-1,1,-1,-2,1,2,1,-1
180,0,-1,-2,-2,-2,1,-1,0,-3,-2,0
181,3,2,1,2,1,-1,-2,-2,-2,-2,1
182,2,2,2,-2,-2,-1,1,1,1,-1,-2
183,2,2,2,2,2,2,-2,-2,-1,1,1
184,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2
185,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2
186,2,2,0,-1,1,-2,1,-1,-2,-2,-2
187,-2,-1,-2,-1,2,2,2,2,0,-1,3
188,-2,-2,-2,2,2,3,2,1,2,1,-1
189,-2,0,2,-1,3,-1,1,0,2,-1,-2
190,0,0,3,1,0,-2,-2,-1,0,-2,-2
191,2,2,2,-1,0,0,2,2,0,3,0
192,2,-1,3,-2,2,2,2,0,-2,-2,0
193,2,-2,-2,-3,2,-2,-2,1,2,3,2
194,2,-1,-2,-2,-2,2,1,-1,-2,-2,0
195,0,-3,0,-2,0,2,2,2,2,0,-1
196,-2,-2,-3,-3,-1,2,2,1,-2,-2,1
197,0,3,-1,-2,0,-3,-2,-2,-1,0,-2
198,-2,-1,1,-2,-1,2,3,2,1,-2,1
199,1,1,-1,2,2,2,2,2,2,-1,-2
200,2,2,2,-2,-2,-3,2,-2,-2,1,2
201,0,0,1,2,2,2,1,1,-2,-2,0
202,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1
203,-1,-2,0,-3,-2,-2,-1,0,-2,-2,-2
204,-1,2,-1,-2,2,0,3,0,2,0,-2
205,-2,2,1,-1,-2,-2,0,-1,-2,-2,-2
206,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2
207,0,2,2,2,2,0,-1,-2,-2,2,2
208,-1,0,-1,2,2,2,2,-2,1,-1,2
209,0,3,1,-1,-3,-2,-2,-2,1,1,2
210,0,2,1,3,2,2,2,1,-2,1,2
211,-2,-2,-2,1,-1,0,-3,-2,0,2,1
212,-2,-2,0,-3,0,-2,0,2,2,2,2
213,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2
214,2,2,2,2,0,-1,3,0,2,2,1
215,2,2,2,2,-2,-2,-1,1,1,1,-1
216,-1,2,0,3,2,2,2,-1,0,0,2
217,1,-2,-2,0,1,3,2,-2,-2,-2,2
218,2,-2,-2,-2,2,2,2,3,2,2,2
219,2,-1,0,0,2,2,0,3,0,0,1
220,0,2,-2,-2,-3,-2,-2,0,1,-1,-2
221,1,1,-1,-2,-1,-2,-1,2,2,2,2
222,3,2,2,2,3,2,2,2,0,2,-2
223,0,-1,-2,-2,-2,0,-3,-1,-2,-1,-3
224,-2,-3,-2,-2,-2,-1,0,2,1,2,0
225,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2
226,-1,2,2,2,2,0,-1,3,0,2,2
227,1,-2,-2,-2,-2,-2,-2,0,1,-1,2
228,2,3,2,1,-2,1,0,3,-1,-2,0
229,2,0,3,0,2,0,-2,0,2,2,2
230,2,2,2,0,-1,-2,-2,2,2,0,-2
231,0,1,-1,-2,-1,1,2,2,3,1,-1
232,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2
233,2,-1,-1,-2,1,-3,1,0,-1,-2,-2
234,-1,-2,-2,-2,-2,2,2,2,2,2,-1
235,-2,0,2,2,2,2,0,-1,-2,-2,2
236,-2,1,2,2,2,2,2,-2,-2,-3,2
237,-2,-2,-2,1,1,-1,2,2,2,2,2
238,-2,-1,-1,0,-1,2,2,2,2,-2,1
239,0,-3,-2,0,2,1,1,1,1,-1,-2
240,-2,-2,-2,-2,0,1,-1,2,0,3,1
241,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2
242,-2,-2,-2,0,2,-1,3,-1,1,0,2
243,0,1,-1,-2,-2,-2,-2,1,1,-1,-2
244,-1,0,0,2,2,0,3,0,0,1,2
245,2,2,1,0,-2,-1,1,-2,-1,2,3
246,2,2,2,3,2,2,2,0,2,-2,-2
247,-1,-2,1,2,1,-1,0,3,-1,2,-1
248,-2,-2,2,1,2,2,2,2,0,-2,-2
249,-1,1,-2,-1,2,3,2,1,-2,1,0
250,1,-1,2,2,2,2,2,2,-1,-2,-2
251,1,1,-2,-2,0,1,3,2,-2,-2,-2
252,2,2,0,3,0,0,3,1,0,-2,-2
253,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2
254,-1,-2,-2,2,1,2,2,2,2,0,-2
255,-2,0,-3,-2,-2,-1,0,-2,-2,-2,-2
256,3,0,2,2,1,1,1,-2,0,0,1
257,2,2,2,0,-2,-2,2,2,2,2,1
258,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2
259,2,0,-1,3,0,2,2,1,1,1,-2
260,2,2,2,2,2,-2,-2,-1,1,1,1
261,3,2,2,2,-1,0,0,2,2,0,3
262,2,2,2,-1,-1,-2,1,-3,1,0,-1
263,-2,-3,2,-2,-2,1,2,3,2,2,2
264,1,1,2,3,2,2,-1,-2,-2,-2,2
265,2,-2,-2,1,2,3,2,2,2,0,-1
266,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2
267,0,1,2,-2,-2,-2,-2,-2,3,2,2
268,-2,-2,-1,-2,-1,-1,0,-1,2,2,2
269,-2,-2,0,-3,-1,-2,-1,-3,-1,0,1
270,-2,-2,-2,2,2,2,0,3,0,0,3
271,1,-2,1,2,2,-1,3,-2,2,2,2
272,-2,-2,0,1,-1,2,0,3,1,-1,-3
273,2,3,2,2,1,0,-2,-1,1,-2,-1
274,-2,2,0,3,0,2,0,-2,0,2,2
275,2,2,2,1,0,1,-1,-2,-1,1,2
276,-1,-2,-1,1,2,2,3,1,-1,-2,-1
277,2,-1,3,-1,1,0,2,-1,-2,-2,-3
278,0,2,2,-2,-2,-1,-1,0,-3,1,-2
279,2,2,0,-2,-2,-2,-2,-2,2,2,2
280,2,2,2,2,0,-1,1,-2,1,-1,-2
281,2,1,0,1,-1,-2,-1,1,2,2,3
282,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2
283,-1,2,3,2,1,-2,1,0,3,-1,-2
284,2,2,0,-2,-2,2,2,2,2,1,-2
285,2,2,0,-1,-2,-2,2,2,0,-2,-2
286,-2,0,2,2,-2,-2,-1,-1,0,-3,1
287,3,2,2,2,1,0,1,-1,-2,-1,1
288,1,-3,1,0,-1,-2,-2,-2,0,-3,-1
289,-2,-2,-2,-2,-2,-2,0,1,-1,2,0
290,2,2,-1,-1,-2,1,-3,1,0,-1,-2
291,2,0,3,0,0,3,1,0,-2,-2,-1
292,-2,3,2,2,-2,0,-3,-2,0,2,1
293,-2,-2,1,1,-1,2,2,2,2,2,2
294,0,2,2,2,2,0,-1,1,-2,1,-1
295,1,-1,0,-3,-2,0,2,1,1,1,1
296,2,3,2,2,2,0,2,-2,-2,-3,-2
297,-2,-2,-2,-3,-2,-2,3,2,2,-2,0
298,2,2,1,-2,1,2,2,-1,3,-2,2
299,-3,-2,-2,-2,1,1,2,2,3,2,2
300,2,2,0,-2,-2,0,2,2,-2,-2,-1
301,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2
302,-3,-3,-2,-2,-2,-2,1,1,-1,2,2
303,3,2,2,-1,-2,-2,-2,2,1,-1,-2
304,-2,-3,-2,-2,-2,0,2,-1,3,-1,1
305,2,0,2,-2,-2,-3,-2,-2,0,1,-1
306,2,2,2,0,3,0,0,3,1,0,-2
307,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0
308,-2,-2,-3,-2,-2,3,2,2,-2,0,-3
309,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1
310,2,2,2,-1,-2,-2,-1,2,0,3,2
311,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2
312,0,2,2,0,3,0,0,1,2,2,2
313,-2,0,1,3,2,-2,-2,-2,2,2,2
314,-3,-2,0,2,1,1,1,1,-1,-2,-1
315,-2,-1,2,3,2,1,-2,1,0,3,-1
316,0,0,2,2,0,3,0,0,1,2,2
317,-2,-2,-2,3,2,2,2,2,-1,-1,-2
318,-2,1,-1,2,2,2,2,3,2,2,2
319,2,2,-1,-2,-2,-2,2,1,-1,-2,-2
320,-2,0,2,1,3,2,2,2,1,-2,1
321,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2
322,2,2,1,1,-2,-2,0,1,3,2,-2
323,0,2,0,-2,0,2,2,2,2,0,-1
324,-3,-1,-2,-1,-3,-1,0,1,-2,-2,-2
325,-2,-2,-2,-1,0,2,1,2,0,-2,-3
326,0,-3,-2,0,2,1,3,2,2,2,1
327,0,1,2,2,2,1,1,-2,-2,0,1
328,-1,-2,-2,0,-1,-2,-2,-2,1,-1,0
329,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2
330,-1,-3,-1,0,1,-2,-2,-2,-3,-2,-2
331,-1,-2,1,-3,1,0,-1,-2,-2,-2,0
332,-2,-2,-2,0,1,-1,2,0,3,1,-1
333,1,2,2,-1,3,-2,2,2,2,0,-2
334,2,0,-1,0,2,2,2,2,2,2,-2
335,3,0,0,1,2,2,2,1,1,-2,-2
336,-2,-2,2,2,2,2,2,-1,-1,0,-3
337,3,-1,1,0,2,-1,-2,-2,-3,-2,-2
338,-3,-1,2,2,1,-2,-2,1,2,2,2
339,2,2,1,1,1,-2,0,0,1,2,-2
340,-2,-2,2,2,3,2,1,2,1,-1,-2
341,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1
342,-2,-2,-2,-2,2,2,2,0,3,0,0
343,-3,-2,-2,-2,-2,1,1,-1,2,2,2
344,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2
345,-2,-2,0,1,3,2,-2,-2,-2,2,2
346,1,-2,-2,0,-3,0,-2,0,2,2,2
347,-2,-2,-2,-2,3,2,2,2,2,-1,-1
348,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1
349,1,2,2,2,1,1,-2,-2,0,1,3
350,-1,-2,-1,2,2,2,2,0,-1,3,0
351,1,2,-2,-2,-2,-2,-2,3,2,2,2
352,2,0,-2,-2,2,2,2,2,1,-2,-2
353,2,2,1,-2,-2,1,2,2,2,2,2
354,-3,-2,0,2,1,3,2,2,2,1,-2
355,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1
356,1,2,1,-1,0,3,-1,2,-1,-2,2
357,2,2,-2,-2,-1,1,1,1,-1,-2,-2
358,1,-2,1,0,3,-1,-2,0,-3,-2,-2
359,-2,-2,-2,0,-3,-1,-2,-1,-3,-1,0
360,-1,-2,2,0,3,0,2,0,-2,0,2
361,1,-1,-2,-2,0,-1,-2,-2,-2,1,-1
362,2,2,2,1,-2,1,2,2,-1,3,-2
363,-2,-2,-1,-1,0,-3,1,-2,-2,0,-3
364,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2
365,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2
366,-2,2,2,2,0,-2,-2,0,2,2,-2
367,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2
368,0,2,-1,3,-1,1,0,2,-1,-2,-2
369,-2,-1,2,0,3,2,2,2,-1,0,0
370,0,-1,2,2,2,2,-2,1,-1,2,2
371,-2,1,-1,0,-3,-2,0,2,1,1,1
372,-2,-1,-3,-1,0,1,-2,-2,-2,-3,-2
373,-2,-2,2,2,2,3,2,2,2,3,2
374,-2,2,2,0,-2,-2,-2,-2,-2,2,2
375,-2,-2,-2,1,1,2,2,3,2,2,1
376,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2
377,-2,-2,-1,0,-2,-2,-2,-2,-2,-1,-1
378,-2,-2,2,2,0,-2,-2,-2,-2,-2,2
379,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3
380,2,1,-2,1,0,3,-1,-2,0,-3,-2
381,-1,2,0,3,1,-1,-3,-2,-2,-2,1
382,2,2,-2,-2,-1,-1,0,-3,1,-2,-2
383,1,-1,0,3,-1,2,-1,-2,2,0,3
384,2,2,2,1,1,-2,-2,0,1,3,2
385,-3,-2,-2,-2,0,2,-1,3,-1,1,0
386,-2,-2,1,2,2,2,2,2,-2,-2,-3
387,2,2,2,2,-2,1,-1,2,2,2,2
388,2,0,-2,0,2,2,2,2,0,-1,-2
389,3,-1,2,-1,-2,2,0,3,0,2,0
390,2,2,2,2,3,2,2,2,1,0,1
391,2,1,-2,-2,1,2,2,2,2,2,-2
392,3,2,2,1,0,-2,-1,1,-2,-1,2
393,-2,0,2,2,2,2,0,-1,1,-2,1
394,0,-2,-2,0,2,2,-2,-2,-1,-1,0
395,1,-1,-2,-1,-1,1,-1,-2,1,2,1
396,0,-1,0,2,2,2,2,2,2,-2,-2
397,0,1,-2,-2,-2,-3,-2,-2,3,2,2
398,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2
399,-2,-3,-2,-2,3,2,2,-2,0,-3,-2
400,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3
401,1,0,-2,-1,1,-2,-1,2,3,2,1
402,0,-3,-1,-2,-1,-3,-1,0,1,-2,-2
403,2,1,0,-2,-1,1,-2,-1,2,3,2
404,3,1,-1,-3,-2,-2,-2,1,1,2,2
405,-3,-1,0,1,-2,-2,-2,-3,-2,-2,3
406,-1,2,2,2,2,-2,1,-1,2,2,2
407,-2,-2,0,1,-1,2,0,3,1,-1,-3
408,-2,-2,0,1,-1,2,0,3,1,-1,-3
409,-2,-2,0,2,2,-2,-2,-1,-1,0,-3
410,-2,-2,-2,-1,0,2,1,2,0,-2,-3
411,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3
412,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3
413,-2,-2,-2,-1,0,2,1,2,0,-2,-3
414,2,2,3,2,2,2,0,2,-2,-2,-3
415,-2,-2,0,2,2,-2,-2,-1,-1,0,-3
416,-2,-2,2,2,2,2,2,-1,-1,0,-3
417,2,-1,3,-1,1,0,2,-1,-2,-2,-3
418,-1,-2,-1,-3,-1,0,1,-2,-2,-2,-3
419,2,-1,3,-1,1,0,2,-1,-2,-2,-3
420,1,1,1,-1,-2,-2,-2,-2,-2,2,-3
421,-2,-2,2,2,2,2,2,-1,-1,0,-3
422,-2,-2,-1,-1,0,-3,1,-2,-2,0,-3
423,-2,-2,-1,-1,0,-3,1,-2,-2,0,-3
424,3,2,1,-2,1,0,3,-1,-2,0,-3
425,3,2,1,-2,1,0,3,-1,-2,0,-3
426,-2,-2,-2,-1,0,2,1,2,0,-2,-3
427,-2,-2,2,2,2,2,2,-1,-1,0,-3
428,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3
429,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3
430,1,1,1,-1,-2,-2,-2,-2,-2,2,-3
431,-2,-2,0,1,-1,2,0,3,1,-1,-3
432,-2,-2,0,2,2,-2,-2,-1,-1,0,-3
433,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3
434,1,1,1,-1,-2,-2,-2,-2,-2,2,-3
435,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3
436,2,2,3,2,2,2,0,2,-2,-2,-3
437,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3
438,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3
439,-2,-2,0,1,-1,2,0,3,1,-1,-3
440,3,2,1,-2,1,0,3,-1,-2,0,-3
441,-2,-2,0,1,-1,2,0,3,1,-1,-3
442,0,-1,-2,-2,-2,0,-3,-1,-2,-1,-3
443,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3
444,-2,-2,2,2,2,2,2,-1,-1,0,-3
445,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3
446,-2,-2,1,2,2,2,2,2,-2,-2,-3
447,2,2,3,2,2,2,0,2,-2,-2,-3
448,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3
449,3,2,1,-2,1,0,3,-1,-2,0,-3
450,0,-1,-2,-2,-2,0,-3,-1,-2,-1,-3
451,-2,-2,-1,-1,0,-3,1,-2,-2,0,-3
452,3,2,1,-2,1,0,3,-1,-2,0,-3
453,0,-1,-2,-2,-2,0,-3,-1,-2,-1,-3
454,1,1,1,-1,-2,-2,-2,-2,-2,2,-3
455,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3
456,-2,-2,-3,-2,-2,3,2,2,-2,0,-3
457,-2,-2,-1,-1,0,-3,1,-2,-2,0,-3
458,-2,-2,0,1,-1,2,0,3,1,-1,-3
459,-2,-2,0,1,-1,2,0,3,1,-1,-3
460,-2,-2,1,2,2,2,2,2,-2,-2,-3
461,-1,-2,-1,-3,-1,0,1,-2,-2,-2,-3
462,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3
463,2,2,3,2,2,2,0,2,-2,-2,-3
464,-2,-2,-2,-1,0,2,1,2,0,-2,-3
465,-2,-2,-3,-2,-2,3,2,2,-2,0,-3
466,-2,3,2,2,2,2,-1,-1,-2,1,-3
467,-2,-2,0,1,-1,2,0,3,1,-1,-3
468,-2,-2,0,1,-1,2,0,3,1,-1,-3
469,2,2,3,2,2,2,0,2,-2,-2,-3
470,-2,-2,0,1,-1,2,0,3,1,-1,-3
471,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3
472,3,2,1,-2,1,0,3,-1,-2,0,-3
473,-2,-2,1,2,2,2,2,2,-2,-2,-3
