Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action 21,Action 22,Action 23,Action 24,Action 25,Action to Next Point
1,38,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2
1,39,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2
1,40,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2
1,41,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0
1,42,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1
1,43,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0
1,44,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2
1,45,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2
1,46,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2
1,47,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2
1,48,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2
1,49,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2
1,50,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2
1,51,2,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2
1,52,2,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1
1,53,2,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1
1,54,-2,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1
1,55,-2,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1
1,56,-3,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1
1,57,2,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2
1,58,-2,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2
1,59,-2,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2
1,60,1,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2
1,61,2,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2
1,62,3,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2
1,63,2,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3
1,64,2,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3
1,65,2,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1
1,66,0,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2
1,67,-1,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2
1,68,0,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2
1,69,2,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3
1,70,2,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3
1,71,2,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2
1,72,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2
1,73,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2
1,74,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2
1,75,-2,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1
1,76,-2,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1
1,77,-1,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1
1,78,1,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2
1,79,1,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2
1,80,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2
1,81,-1,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2
1,82,-2,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2
1,83,-2,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2
1,84,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1
1,85,-2,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2
1,86,-2,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2
1,87,2,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1
1,88,-3,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2
1,89,-3,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0
1,90,-1,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3
1,91,-2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2
1,92,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2
1,93,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2
1,94,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1
1,95,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0
1,96,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0
1,97,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2
1,98,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2
1,99,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0
1,100,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3
1,101,1,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0
1,102,-1,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0
1,103,2,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1
1,104,2,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2
1,105,2,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2
1,106,2,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2
1,107,2,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1
1,108,2,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1
1,109,-1,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2
1,110,-2,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2
1,111,-2,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0
1,112,-1,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1
1,113,2,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3
1,114,0,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2
1,115,3,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2
1,116,2,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2
1,117,2,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2
1,118,2,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2
1,119,-1,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2
1,120,0,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2
1,121,0,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3
1,122,2,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2
1,123,2,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2
1,124,0,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2
1,125,3,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3
1,126,0,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2
1,127,0,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2
1,128,1,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2
1,129,2,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0
1,130,2,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2
1,131,2,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2
1,132,1,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2
1,133,1,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3
1,134,-2,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2
1,135,-2,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2
1,136,0,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0
1,137,1,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1
1,138,3,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1
1,139,2,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2
1,140,-2,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2
1,141,-2,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2
1,142,-2,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2
1,143,2,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1
1,144,2,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1
1,145,2,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1
1,146,3,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2
1,147,2,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1
1,148,2,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1
1,149,2,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1
1,150,3,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1
1,151,2,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2
1,152,2,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1
1,153,2,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2
1,154,0,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1
1,155,2,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1
1,156,-2,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0
1,157,-2,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3
1,158,-3,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1
1,159,-2,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2
1,160,-2,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1
1,161,0,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2
1,162,1,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2
1,163,-1,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0
1,164,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3
1,165,-2,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0
1,166,-2,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2
1,167,-2,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0
1,168,1,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2
1,169,1,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0
1,170,-1,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2
1,171,-2,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2
1,172,-1,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2
1,173,-1,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2
1,174,1,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0
1,175,-1,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1
1,176,-2,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2
1,177,1,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2
1,178,2,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2
1,179,1,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2
1,180,-1,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0
1,181,0,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2
1,182,3,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2
1,183,-1,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2
1,184,2,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2
1,185,-1,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2
1,186,-2,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2
1,187,2,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2
1,188,0,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2
1,189,3,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0
1,190,0,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3
1,191,2,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0
1,192,0,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0
1,193,-2,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3
1,194,0,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1
1,195,2,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0
1,196,2,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2
1,197,2,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2
1,198,2,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1
1,199,0,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0
1,200,-1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2
1,201,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2
1,202,-2,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2
1,203,2,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2
1,204,2,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1
1,205,0,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0
1,206,-2,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2
1,207,-2,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2
1,208,-2,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2
1,209,-2,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3
1,210,-2,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2
1,211,2,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2
1,212,2,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2
1,213,2,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0
1,214,0,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2
1,215,3,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1
1,216,0,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3
1,217,0,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1
1,218,3,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1
1,219,1,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0
1,220,0,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2
1,221,-2,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1
1,222,-2,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2
1,223,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2
1,224,0,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3
1,225,-2,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2
1,226,-2,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2
1,227,-2,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1
1,228,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2
1,229,-1,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1
1,230,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1
1,231,-2,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0
1,232,-2,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1
1,233,-2,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2
1,234,-3,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2
1,235,-2,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2,2
1,236,-2,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2,2,2
1,237,-2,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2,2,2,-2
1,238,0,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2,2,2,-2,1
1,239,2,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2,2,2,-2,1,-1
1,240,-1,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2,2,2,-2,1,-1,2
1,241,3,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2,2,2,-2,1,-1,2,2
1,242,-1,1,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1,2,2,2,2,-2,1,-1,2,2,2
